Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Ajgalley, Shri Guh",Male,Bharatiya Janata Party(BJP),Janjgir-Champa,#N/A,Professional Graduate,"B.A., L.L.B. Educated at Swami Bal Krishanpuri University, Raigarh, Chhattisgarh",53,23-May-19,In office,Second Term,98%,#N/A,#N/A,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajmal,  Maulana Badruddi",Male,All India United Democratic Front(AIUDF),Dhubri,Assam,Post Graduate,"Fazil-e-Deoband (Masters in Islamic Theology and Arabic); Educated at Darul Uloom, Deoband, Uttar Pradesh",64,23-May-19,In office,Third Term,41%,0,163,12,67,1,19,80,409,0,1,3,8,0,0,0,0,1,6
"Ambareesh, Smt. Sumalath",#N/A,Independent(Ind.),Mandya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,0,3,0,31,0,0,0,3,0,0,0,0,0,1,0
"Annadurai, Shri C.N",Male,Dravida Munnetra Kazhagam(DMK),Tiruvannamalai,Tamil Nadu,Information Not Available,Information Not Available,47,23-May-19,In office,First Term,76%,9.23,365,13,0,5,0,96,0,0,0,1,0,0,0,0,0,1,0
"Ansari, Shri Afzal",Male,Bahujan Samaj Party(BSP),Ghazipur,Uttar Pradesh,Post Graduate,"Educated at Post Graduate College, Ghazipur",67,23-May-19,In office,Second Term,89%,0,74,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Antony,  Shri Anto ",Male,Indian National Congress(INC),Pathanamthitta,Kerala,Graduate,"B.A.; Educated at St. Thomas College, Palai",63,23-May-19,In office,Third Term,89%,0,791,24,80,8,35,146,657,1,4,3,4,0,1,0,0,1,10
"Aujla, Shri Gurjeet Singh",Male,Indian National Congress(INC),Amritsar,Punjab,Inter/ Higher Secondary,"Educated at P.N.B. Sr. Secondary School, Amritsar, Punjab",47,23-May-19,In office,Second Term,91%,2.5,183,19,13,11,10,52,35,0,1,1,0,0,0,0,0,1,3
"Azad, Smt.  Sangeet",Female,Bahujan Samaj Party(BSP),Lalganj,#N/A,Information Not Available,Information Not Available,39,23-May-19,In office,First Term,86%,#N/A,#N/A,24,0,14,0,5,0,0,0,1,0,0,0,0,0,2,0
"B.N. , Shri Bache Gowd",Male,Bharatiya Janata Party(BJP),Chikkballapur,#N/A,Graduate,"BSc., B.L., Educated at Mysore University, Karnataka",78,23-May-19,In office,First Term,48%,#N/A,#N/A,0,0,0,0,13,0,1,0,0,0,0,0,0,0,1,0
"Baalu, Shri Thalikkottai Rajuthev",#N/A,Dravida Munnetra Kazhagam(DMK),Sriperumbudur,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.91,140,42,0,13,0,68,0,4,0,4,0,0,0,0,0,4,0
