Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Mane, Shri Dhairyasheel  S",Male,Shiv Sena(SS),Hatkanangle,Maharashtra,Graduate,B.A. Educated at Yashwantrao Chavan University,39,23-May-19,In office,First Term,71%,0.3,499,8,0,4,0,157,0,1,0,1,0,0,0,0,0,1,0
"Mann, Shri Bhagwant",Male,Aam Aadmi Party(AAP),Sangrur,Punjab,Under Graduate,B.Com II Year,46,23-May-19,In office,Second Term,54%,9.44,1413,35,109,7,36,9,57,0,1,7,16,0,4,0,0,2,1
"Manne, Shri Srinivas Reddy",Male,Telangana Rashtra Samithi(TRS),Mahabubnagar,Telangana,Graduate,"B.Com. Educated at Osmania University, Hyderabad, Telangana",61,23-May-19,In office,First Term,54%,0.23,517,5,0,3,0,54,0,0,0,0,0,0,0,0,0,1,0
"Maran, Thiru Dayanidhi",Male,Dravida Munnetra Kazhagam(DMK),Chennai Central,Tamil Nadu,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu) ",53,23-May-19,In office,Third Term,83%,1.13,135,18,0,1,0,24,0,0,0,6,0,0,0,0,0,1,0
"Margani, Shri Bharat R",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Rajahmundry,Andhra Pradesh,Graduate,B.C.A.,38,23-May-19,In office,First Term,73%,0,147,25,0,12,0,70,0,1,0,3,0,0,0,0,0,1,0
"Masoodi, Shri Hasnai",Male,Jammu and Kashmir National Conference(J&KNC),Anantnag,#N/A,Post Graduate,"M.A., LL.M, Educated at Harvard Law School, Harvard University, USA",66,23-May-19,In office,First Term,84%,#N/A,#N/A,46,0,13,0,29,0,0,0,12,0,0,0,1,0,2,0
"Maurya, Dr.  Sanghamit",Female,Bharatiya Janata Party(BJP),Badaun,#N/A,Doctorate,"MBBS Educated at Era Medical College, Lucknow",35,23-May-19,In office,First Term,100%,#N/A,#N/A,25,0,9,0,8,0,0,0,1,0,0,0,0,0,1,0
"Meena, Shri Arjunlal",Male,Bharatiya Janata Party(BJP),Udaipur,#N/A,Post Graduate,"M.Com., B.Ed.",56,23-May-19,In office,Second Term,98%,#N/A,#N/A,18,89,10,55,70,349,0,1,1,0,0,0,0,0,1,5
"Meena, Smt. Jaskau",Female,Bharatiya Janata Party(BJP),Dausa,#N/A,Post Graduate,"M.A., B.Ed., Educated at Rajasthan University, Jaipur (Rajasthan)",73,23-May-19,In office,Second Term,94%,#N/A,#N/A,26,0,11,0,82,0,4,0,5,0,0,0,0,0,3,0
"Meghwal, Shri Arjun Ram ",Male,Bharatiya Janata Party(BJP),Bikaner,#N/A,Post Graduate,"M.A. (Pol. Science); Educated at Sri Dungar College, Bikaner and University of Phillipine, Phillipines",66,23-May-19,In office,Third Term,N/A,#N/A,#N/A,140,256,5,48,0,348,0,2,8,13,0,18,0,1,0,9
"Mendhe, Shri Sunil Babu",#N/A,Bharatiya Janata Party(BJP),Bhandara-Gondiya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,0,8,0,58,0,2,0,0,0,0,0,0,0,0,0
"Mishra, Shri Janard",Male,Bharatiya Janata Party(BJP),Rewa,#N/A,Professional Graduate,"B.A., LL.B",64,23-May-19,In office,Second Term,90%,#N/A,#N/A,21,41,4,18,60,149,0,0,1,1,1,0,1,0,2,9
"Misra, Shri Ajay (Teni)",Male,Bharatiya Janata Party(BJP),Kheri,Uttar Pradesh,Professional Graduate,"B.Sc., LL.B.",60,23-May-19,In office,Second Term,95%,7.31,195,58,259,16,148,142,481,3,5,5,10,4,8,0,2,3,5
"Misra, Shri Pinaki",Male,Biju Janata Dal(BJD),Puri,Odisha,Professional Graduate,"B.A. (Hist.) Hons., LL.B.; Educated at St. Xavier`s School, Delhi, St. Stephen`s College and Faculty of Law, Delhi University",60,23-May-19,In office,Fourth Term,93%,4.1,739,27,19,0,1,96,335,4,1,11,7,0,0,0,0,5,6
"Modi, Shri Narendra Damodard",Male,Bharatiya Janata Party(BJP),Varanasi,Uttar Pradesh,Post Graduate,Post Graduate,70,23-May-19,In office,Second Term,N/A,0,74,6,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mohammed, Shri Faizal ",Male,Nationalist Congress Party(NCP),Lakshadweep,#N/A,Professional Post Graduate,M.B.A.,45,23-May-19,In office,Second Term,69%,#N/A,#N/A,14,50,6,23,97,352,2,4,1,1,0,0,0,0,0,0
"Mohan, Shri P. C",Male,Bharatiya Janata Party(BJP),Bangalore Central,Karnataka,Inter/ Higher Secondary,Educated at Vijiya College,57,23-May-19,In office,Third Term,84%,0,3,3,21,0,7,50,317,1,2,0,0,0,0,0,0,2,10
"Mohanty, Shri Anubhav",Male,Biju Janata Dal(BJD),Kendrapara,#N/A,Graduate,B.Com,38,23-May-19,In office,First Term,79%,#N/A,#N/A,44,0,17,0,59,0,1,0,8,0,0,0,0,0,0,0
"Moitra, Ms. Mahu",Female,All India Trinamool Congress(AITC),Krishnanagar,West Bengal,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,88%,13.02,266,25,0,10,0,20,0,0,0,7,0,0,0,0,0,2,0
"Mondal, Smt. Prati",Female,All India Trinamool Congress(AITC),Jaynagar,#N/A,Post Graduate,"M.A., B.Ed.",54,23-May-19,In office,Second Term,79%,#N/A,#N/A,41,68,13,22,59,37,2,0,7,11,0,1,0,0,1,10
"Mondal, Shri Sunil Ku",#N/A,All India Trinamool Congress(AITC),Bardhaman Purba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,9,2,4,65,327,1,3,1,2,0,0,0,0,1,5
Mrs. Annpurna Devi,Female,Bharatiya Janata Party(BJP),Kodarma,Jharkhand,Post Graduate,"Educated at Ranchi University, Jharkhand",50,23-May-19,In office,First Term,70%,4.35,498,22,0,9,0,94,0,2,0,1,0,0,0,0,0,1,0
"Munda, Shri Arjun ",Male,Bharatiya Janata Party(BJP),Khunti,#N/A,Graduate,"Graduate, Diploma in Social Science; Educated at IGNOU",52,23-May-19,In office,Second Term,N/A,#N/A,#N/A,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Munde, Dr. Pritam Gopinath R",Female,Bharatiya Janata Party(BJP),Beed,Maharashtra,Professional Graduate,"MBBS, D.Y. Patil Institute, Navi Mumbai",37,23-May-19,In office,Second Term,85%,12.12,699,17,32,10,21,144,454,3,0,1,2,0,1,0,0,1,9
"Muniswamy, Shri S",Male,Bharatiya Janata Party(BJP),Kolar,#N/A,Information Not Available,Information Not Available,45,23-May-19,In office,First Term,85%,#N/A,#N/A,15,0,3,0,66,0,1,0,0,0,0,0,0,0,1,0
"Munjpara, Dr. Mahendrabhai Kalubhai",Male,Bharatiya Janata Party(BJP),Surendranagar,Gujarat,Doctorate,"M.D. (General Medicine and Therapeutics), Physician and Cardiologist Educated at Smt. N.H.L. Municipal Medical College, Gujarat University",52,23-May-19,In office,First Term,100%,0.1,411,13,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0
"Muraleedharan, Shri K",Male,Indian National Congress(INC),Vadakara,Kerala,Professional Graduate,"B.A., LL.B. (Course Completed), Educated at Mar Ivnios College, Trivandrum and Law Academy, Law College, Trivandrum (Kerala)",63,23-May-19,In office,Fourth Term,100%,0,481,27,0,19,0,85,0,0,0,0,0,0,0,0,0,1,0
"Murmu, Ms. Chandrani",Female,Biju Janata Dal(BJD),Keonjhar,#N/A,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,80%,#N/A,#N/A,6,0,5,0,14,0,0,0,1,0,0,0,0,0,1,0
"Murmu, Shri  Kh",Male,Bharatiya Janata Party(BJP),Maldaha Uttar,West Bengal,Graduate,"Bachelor of Arts
Educated at Magadh University",60,23-May-19,In office,First Term,96%,9.18,559,28,0,11,0,122,0,1,0,0,0,0,0,0,0,1,0
"Nagar, Shri   Malook",Male,Bahujan Samaj Party(BSP),Bijnor,Uttar Pradesh,Information Not Available,Information Not Available,55,23-May-19,In office,First Term,95%,0.26,4,114,0,86,0,61,0,1,0,4,0,0,0,0,0,0,0
"Nagar, Shri Rodmal",Male,Bharatiya Janata Party(BJP),Rajgarh,#N/A,Graduate,Graduate,59,23-May-19,In office,Second Term,98%,#N/A,#N/A,14,267,10,231,87,469,1,5,0,1,0,1,0,0,1,9
"Naik, Shri Raja Amareshw",Male,Bharatiya Janata Party(BJP),Raichur,#N/A,Professional Graduate,"B.A. LL.B. (Spl) Educated at SJM College, Chitradurga, Mysore University and Karnataka University",63,23-May-19,In office,First Term,88%,#N/A,#N/A,3,0,1,0,224,0,1,0,0,0,0,0,0,0,1,0
"Naik, Shri Shripad Y",#N/A,Bharatiya Janata Party(BJP),North Goa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31,49,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"Naik Nimbalkar, Shri Ranjeetsingh",Male,Bharatiya Janata Party(BJP),Madha,Maharashtra,Information Not Available,Information Not Available,43,23-May-19,In office,First Term,45%,0,446,5,0,3,0,75,0,0,0,1,0,0,0,0,0,0,0
"Nallakonda Gari, Shri Redd",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Chittoor,Andhra Pradesh,Post Graduate,"M.A., B.L. Educated at S.V. University, Tirupati and Andhra University, Vizag, Andhra Pradesh",69,23-May-19,In office,First Term,89%,0,1093,5,0,0,0,79,0,2,0,3,0,0,0,0,0,1,0
"Namgyal, Shri Jamyang Tseri",Male,Bharatiya Janata Party(BJP),Ladakh,Jammu & Kashmir,Graduate,"Bachelor of Arts, Educated at University of Jammu, J & K",35,23-May-19,In office,First Term,94%,0,591,17,0,10,0,27,0,1,0,0,0,0,0,0,0,1,0
"Natarajan, Shri P.R",Male,Communist Party of India (Marxist)(CPI(M)),Coimbatore,Tamil Nadu,Under Graduate,B.A (Incomplete); Educated at Madras University,69,23-May-19,In office,Second Term,95%,9.21,239,28,0,1,0,90,0,0,0,11,0,0,0,0,0,2,0
"Nath, Shri Balak",Male,Bharatiya Janata Party(BJP),Alwar,#N/A,Matric,Matric,36,23-May-19,In office,First Term,71%,#N/A,#N/A,4,0,3,0,63,0,1,0,1,0,0,0,0,0,1,0
"Nath, Shri Nakul K",Male,Indian National Congress(INC),Chhindwara,Madhya Pradesh,Graduate,"Bachelor of Business Administration (BBA) Educated at Bay State College, Boston, USA",46,23-May-19,In office,First Term,66%,0,270,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Nete, Shri Ashok Mahad",Male,Bharatiya Janata Party(BJP),Gadchiroli-Chimur,#N/A,Graduate,B.A.,52,23-May-19,In office,Second Term,90%,#N/A,#N/A,16,35,4,11,115,533,2,3,0,0,0,4,0,0,3,5
"Nishad, Shri Ajay",Male,Bharatiya Janata Party(BJP),Muzaffarpur,#N/A,Graduate,Graduate,53,23-May-19,In office,Second Term,95%,#N/A,#N/A,14,20,5,5,73,218,2,1,0,0,0,0,0,0,2,8
"Nishad, Shri Praveen Ku",Male,Bharatiya Janata Party(BJP),Sant Kabir Nagar,Uttar Pradesh,Professional Graduate,"Mechanical Engineering from Gautam Buddha University, Lucknow",31,23-May-19,In office,Second Term,90%,0,200,3,1,0,1,12,1,2,0,0,0,0,0,0,0,1,2
"Nishank, Shri Ramesh Pokhriyal",Male,Bharatiya Janata Party(BJP),Hardwar,Uttarakhand,Doctorate,M.A. Ph.D,61,23-May-19,In office,Second Term,N/A,1.87,308,22,168,0,41,0,391,0,7,10,8,0,26,0,2,0,14
"Oja, Smt. Qu",Female,Bharatiya Janata Party(BJP),Gauhati,#N/A,Graduate,Bachelors Preparatory Programme Educated at K K Handique Open University,69,23-May-19,In office,First Term,86%,#N/A,#N/A,19,0,11,0,61,0,0,0,1,0,0,0,0,0,2,0
"Oram, Shri Jual",Male,Bharatiya Janata Party(BJP),Sundargarh,#N/A,others,"Diploma in Electrical Engineering 
Educated at U.G.I.E., Rourkela (Orissa)",59,23-May-19,In office,Fifth Term,89%,#N/A,#N/A,4,20,1,0,49,0,3,0,0,1,0,0,0,0,2,0
"Owaisi, Shri Asaduddi",Male,All India Majlis-,Hyderabad,Telangana,Professional Graduate,"LL.B (London), Bar-At-Law (Lincolns Inn); Educated at Hyderabad Public School, St. Marys Junior College and Nizam College",51,23-May-19,In office,Fourth Term,83%,4.04,159,33,66,0,2,174,741,3,7,12,20,0,2,0,0,1,5
"Paarivendhar, Dr. T. R",#N/A,Dravida Munnetra Kazhagam(DMK),Perambalur,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.96,171,14,0,6,0,91,0,1,0,1,0,0,0,0,0,1,0
"Pachauri, Shri Satyadev",Male,Bharatiya Janata Party(BJP),Kanpur,Uttar Pradesh,Information Not Available,Information Not Available,73,23-May-19,In office,First Term,95%,17.24,228,4,0,2,0,22,0,0,0,0,0,0,0,0,0,1,0
"Pal , Shri Jagdambik",Male,Bharatiya Janata Party(BJP),Domariyaganj,#N/A,Post Graduate,"M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",69,23-May-19,In office,Third Term,100%,#N/A,#N/A,71,218,27,101,112,382,4,2,5,13,5,27,2,4,4,12
"Pala, Shri Vincent ",#N/A,Indian National Congress(INC),Shillong,Meghalaya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.05,145,5,43,0,13,76,264,3,2,2,4,0,7,0,2,1,5
"Palanimanickam, Shri S.S",Male,Dravida Munnetra Kazhagam(DMK),Thanjavur,Tamil Nadu,Professional Graduate,"B.L.; Educated at Madras Law College, Chennai (Tamil Nadu) ",70,23-May-19,In office,Sixth Term,49%,4.45,307,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Panda, Shri Basanta Ku",Male,Bharatiya Janata Party(BJP),Kalahandi,Odisha,Information Not Available,Information Not Available,59,23-May-19,In office,First Term,94%,0.15,298,13,0,9,0,56,0,1,0,0,0,0,0,0,0,1,0
"Pandey, Dr. Mahendra Nath",Male,Bharatiya Janata Party(BJP),Chandauli,Uttar Pradesh,Doctorate,"M.A., PhD. (Hindi), Master of Journalism",62,23-May-19,In office,Second Term,N/A,0.02,314,0,67,0,28,0,60,0,0,0,3,0,3,0,0,0,2
"Pandey, Shri  Ritesh",Male,Bahujan Samaj Party(BSP),Ambedkar Nagar,#N/A,Information Not Available,Information Not Available,39,23-May-19,In office,First Term,90%,#N/A,#N/A,67,0,24,0,81,0,2,0,9,0,2,0,0,0,4,0
"Pandey, Shri Santosh",Male,Bharatiya Janata Party(BJP),Rajnandgaon,Chhattisgarh,Information Not Available,Information Not Available,52,23-May-19,In office,First Term,90%,8.68,460,16,0,12,0,35,0,1,0,1,0,0,0,0,0,2,0
"Paras, Shri Pashupati Ku",Male,Lok Jan Shakti Party(LJSP),Hajipur,#N/A,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,73%,#N/A,#N/A,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0
"Parkash, Shri S",#N/A,Bharatiya Janata Party(BJP),Hoshiarpur,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Parthiban, Shri S.R",Male,Dravida Munnetra Kazhagam(DMK),Salem,Tamil Nadu,Information Not Available,Information Not Available,50,23-May-19,In office,First Term,90%,8.8,271,12,0,4,0,90,0,1,0,0,0,0,0,0,0,1,0
"Pasunoori, Shri Dayak",Male,Telangana Rashtra Samithi(TRS),Warangal,#N/A,Graduate,"Educated at Jawaharlal Nehru Technological University, Hyderabad, Telangana",53,23-May-19,In office,Second Term,60%,#N/A,#N/A,1,3,1,1,43,5,1,0,0,0,0,1,0,0,1,4
"Paswan, Shri Chhedi",Male,Bharatiya Janata Party(BJP),Sasaram,#N/A,Post Graduate,M.A.,56,23-May-19,In office,Fourth Term,75%,#N/A,#N/A,9,50,4,19,9,57,0,2,0,0,0,0,0,0,1,12
"Paswan, Shri Chi",Male,Lok Jan Shakti Party(LJSP),Jamui,#N/A,Professional Graduate,B. Tech Computer Science,37,23-May-19,In office,Second Term,70%,#N/A,#N/A,11,19,3,6,36,85,0,0,1,1,0,0,0,0,1,9
"Paswan, Shri Kamlesh ",Male,Bharatiya Janata Party(BJP),Bansgaon,#N/A,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",44,23-May-19,In office,Third Term,95%,#N/A,#N/A,7,12,2,6,4,40,0,1,0,0,0,0,0,0,1,8
"Patel, Smt. Anupriy",Female,Apna Dal(Apna Dal),Mirzapur,Uttar Pradesh,Professional Post Graduate,M.B.A.,39,23-May-19,In office,Second Term,94%,10.48,509,41,73,11,14,9,71,0,2,5,10,0,1,0,1,2,5
"Patel, Shri Devji Mansi",Male,Bharatiya Janata Party(BJP),Jalore,#N/A,Matric,Matriculation,44,23-May-19,In office,Third Term,83%,#N/A,#N/A,71,215,49,133,138,565,1,0,0,0,3,10,0,0,1,7
"Patel, Shri Gajendra Singh",Male,Bharatiya Janata Party(BJP),Khargone,#N/A,Professional Graduate,"B.A., LL.B., Educated at Government College, Barwani, Madhya Pradesh",45,23-May-19,In office,First Term,89%,#N/A,#N/A,16,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0
"Patel, Shri Hasmukhbhai Somabhai",Male,Bharatiya Janata Party(BJP),Ahmedabad East,Gujarat,Diploma Course,"Diploma in Textile Manufacturing Educated at R.C. Technical Institute, Ahemdabad",59,23-May-19,In office,First Term,96%,2.44,284,4,0,1,0,16,0,1,0,0,0,0,0,0,0,1,0
"Patel, Dr. K. C",Male,Bharatiya Janata Party(BJP),Valsad,#N/A,Professional Graduate,M.B.B.S.,71,23-May-19,In office,Second Term,90%,#N/A,#N/A,4,1,2,0,0,0,0,0,0,0,0,0,0,0,2,6
"Patel, Smt.  Keshari Devi",Female,Bharatiya Janata Party(BJP),Phulpur,#N/A,Post Graduate,"M.A., Educated at A.P.S. University, Rewa, Madhya Pradesh",63,23-May-19,In office,First Term,94%,#N/A,#N/A,9,0,4,0,68,0,1,0,0,0,0,0,0,0,1,0
"Patel, Shri Lalubhai Babubhai",Male,Bharatiya Janata Party(BJP),Daman and Diu,#N/A,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",65,23-May-19,In office,Third Term,88%,#N/A,#N/A,4,5,3,3,1,20,0,1,1,0,0,0,0,0,0,0
"Patel, Shri Mitesh Rameshbhai",Male,Bharatiya Janata Party(BJP),Anand,Gujarat,Diploma Course,"Diploma in Telecom Engineering (Electronics & T.C.) Educated at Board of Technical Examination, Karnataka",55,23-May-19,In office,First Term,93%,5.07,1195,17,0,4,0,40,0,0,0,0,0,0,0,0,0,1,0
"Patel, Shri Parbatbhai Savabhai",Male,Bharatiya Janata Party(BJP),Banaskantha,Gujarat,Professional Graduate,"B.A. LL.B. Educated at Gujarat University, Ahmedabad, Gujarat",72,23-May-19,In office,First Term,99%,0,307,16,0,6,0,121,0,0,0,0,0,0,0,0,0,2,0
"Patel, Shri Prahlad Singh",Male,Bharatiya Janata Party(BJP),Damoh,Madhya Pradesh,Post Graduate,"B.Sc., LL.B., M.A. (Philosophy); Educated at Adarsh Vigyan Mahavidyalaya and U.T.D. Rani Durgawati University, Jabalpur (Madhya Pradesh)",60,23-May-19,In office,Fifth Term,N/A,7.41,709,24,191,0,85,0,444,0,4,5,16,0,14,0,4,0,15
"Patel, Shri R.K. Singh",Male,Bharatiya Janata Party(BJP),Banda,#N/A,Graduate,"B.A.; Educated at University of Allahabad, Uttar Pradesh",61,23-May-19,In office,Second Term,88%,#N/A,#N/A,21,0,7,0,6,0,0,0,0,0,0,0,1,0,0,0
"Patel, Smt. Sharda Anilku",#N/A,Bharatiya Janata Party(BJP),Mahesana,Gujarat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.61,847,12,0,2,0,52,0,0,0,0,0,0,0,0,0,2,0
"Pathak, Smt. Riti",Female,Bharatiya Janata Party(BJP),Sidhi,#N/A,Post Graduate,"B.A., M.A., L.L.B",43,23-May-19,In office,Second Term,99%,#N/A,#N/A,24,98,5,49,94,339,2,1,0,0,3,0,0,0,2,13
"Pathak, Shri  Subrat",#N/A,Bharatiya Janata Party(BJP),Kannauj,Uttar Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,26,7,0,4,0,38,0,0,0,0,0,0,0,0,0,1,0
"Patil, Shri Bheemrao Baswanth",Male,Telangana Rashtra Samithi(TRS),Zahirabad,Telangana,Graduate,B.Sc. (Agriculture),64,23-May-19,In office,Second Term,89%,1.99,691,24,46,10,29,96,433,1,3,7,2,0,0,0,0,2,5
"Patil, Shri C. R",Male,Bharatiya Janata Party(BJP),Navsari,Gujarat,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",65,23-May-19,In office,Third Term,95%,15.76,602,2,13,1,1,12,291,0,2,0,0,0,6,0,2,3,6
"Patil, Shri Hemant Shri",Male,Shiv Sena(SS),Hingoli,Maharashtra,Information Not Available,Information Not Available,49,23-May-19,In office,First Term,75%,0,317,14,0,7,0,155,0,1,0,2,0,0,0,0,0,0,0
"Patil, Shri Kapil Moreshw",Male,Bharatiya Janata Party(BJP),Bhiwandi,Maharashtra,Graduate,Graduate,59,23-May-19,In office,Second Term,95%,0,704,22,54,8,24,96,462,5,7,0,0,0,0,0,0,2,7
"Patil, Shri Sanjay(Kaka) Ramchand",Male,Bharatiya Janata Party(BJP),Sangli,Maharashtra,Inter/ Higher Secondary,Higher Secondary,55,23-May-19,In office,Second Term,55%,4.56,456,8,12,3,7,84,220,2,1,0,0,0,0,0,0,1,10
"Patil, Shri Shriniwas Dadasah",#N/A,Nationalist Congress Party(NCP),Satara,Maharashtra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,292,10,0,4,0,76,0,0,0,1,0,0,0,0,0,1,0
"Patil, Shri Unmesh Bhaiyyasah",#N/A,Bharatiya Janata Party(BJP),Jalgaon,Maharashtra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.73,467,53,0,38,0,138,0,2,0,3,0,0,0,0,0,1,0
"Pawar, Dr. Bharati Pravi",Female,Bharatiya Janata Party(BJP),Dindori,#N/A,Doctorate,"M.B.B.S. (Bachelor of Medicine & Bachelor of Surgery)
Educated at N.D.M.V.P's Medical College, Nasik",42,23-May-19,In office,First Term,98%,#N/A,#N/A,39,0,20,0,101,0,1,0,3,0,0,0,0,0,1,0
"Poddar, Smt. Aparupa ",Female,All India Trinamool Congress(AITC),Arambagh,#N/A,Post Graduate,"LLB, MA (English)",34,23-May-19,In office,Second Term,81%,#N/A,#N/A,29,81,7,17,4,67,0,0,1,8,0,0,0,0,2,5
"Pon, Dr. Gautham Sigamani",Male,Dravida Munnetra Kazhagam(DMK),Kallakurichi,Tamil Nadu,Doctorate,"MS (Ortho)
Educated at Sri Ramachandra Medical College, Porun",46,23-May-19,In office,First Term,96%,0.4,99,20,0,4,0,110,0,0,0,2,0,0,0,0,0,1,0
"Pothuganti, Shri Ramulu",Male,Telangana Rashtra Samithi(TRS),Nagarkurnool,#N/A,Graduate,"B.A. Educated at Osmania University, Hyderabad",68,23-May-19,In office,First Term,91%,#N/A,#N/A,16,0,8,0,6,0,0,0,1,0,0,0,0,0,0,0
"Prakash, Adv. Ad",Male,Indian National Congress(INC),Attingal,Kerala,Professional Graduate,"B.A., LL.B., Educated at Sree Narayana College, Quilon, Kerala and Trivandrum Law Academy",65,23-May-19,In office,First Term,95%,0.1,498,31,0,17,0,137,0,3,0,0,0,0,0,0,0,1,0
"Pramanik, Shri  Nisith",#N/A,Bharatiya Janata Party(BJP),Coochbehar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,0,4,0,46,0,0,0,0,0,0,0,0,0,1,0
"Prasad, Shri Chandeshw",Male,Janata Dal (United)(JD(U)),Jahanabad,Bihar,Information Not Available,Information Not Available,69,23-May-19,In office,First Term,78%,0,140,12,0,4,0,56,0,2,0,3,0,0,0,0,0,1,0
"Prasad, Shri Ravi Shank",Male,Bharatiya Janata Party(BJP),Patna Sahib,Bihar,Post Graduate,"B.A.Hons., M.A. (Pol.Science), LL.B.; Educated at Patna University",66,23-May-19,In office,First Term,N/A,0,52,54,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0
"Prasad, Shri V. Sreeniv",#N/A,Bharatiya Janata Party(BJP),Chamrajanagar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pratap Chandra Sarangi, Shri ",Male,Bharatiya Janata Party(BJP),Balasore,Odisha,Information Not Available,Information Not Available,65,23-May-19,In office,First Term,N/A,10.01,1814,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Prathapan, Shri T.N",#N/A,Indian National Congress(INC),Thrissur,Kerala,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,399,29,0,19,0,115,0,1,0,0,0,0,0,0,0,1,0
"Premachandran, Shri N.K",Male,Revolutionary Socialist Party(RSP),Kollam,Kerala,Professional Graduate,"B.Sc, L.L.B",60,23-May-19,In office,Fourth Term,96%,0,592,171,387,30,96,111,466,3,3,50,93,8,11,0,4,3,3
"Prince Raj, Shri ",Male,Lok Jan Shakti Party(LJSP),Samastipur,#N/A,Post Graduate,"BBA, MSc. (International Business), German Language Course",31,24-Oct-19,In office,First Term,91%,#N/A,#N/A,5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pujari, Shri Suresh Ku",#N/A,Bharatiya Janata Party(BJP),Bargarh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16,0,8,0,3,0,0,0,2,0,0,0,0,0,1,0
"Raghavan, Shri M. K",Male,Indian National Congress(INC),Kozhikode,Kerala,Graduate,B.A. History,68,23-May-19,In office,Third Term,91%,0,595,25,85,12,38,98,338,4,4,2,3,0,15,0,0,2,1
"Raghavendra, Shri B. Y",Male,Bharatiya Janata Party(BJP),Shimoga,#N/A,Graduate,"B.B.M. Educated at A.T.N.C.C., Shivamogga, Karnataka",47,23-May-19,In office,Second Term,61%,#N/A,#N/A,10,1,4,0,46,0,0,0,0,0,0,0,0,0,1,1
"Rahaman, Shri  Khalilu",Male,All India Trinamool Congress(AITC),Jangipur,West Bengal,Graduate,"B. Com. Educated at D. N. College, Aurangabad, Murshidabad and City College of Commerce, West Bengal",60,23-May-19,In office,First Term,73%,0,196,7,0,4,0,5,0,0,0,0,0,0,0,0,0,1,0
"Rai, Shri Nityanand",Male,Bharatiya Janata Party(BJP),Ujiarpur,#N/A,Graduate,B.A. (Hons),54,23-May-19,In office,Second Term,N/A,#N/A,#N/A,23,6,1,0,0,143,0,2,7,1,0,0,0,0,0,5
